name
A.C. Mughil
Jim Jarmusch
Jim Kehoe
Jim Mahoney
Jim Mickle
Jim Reardon
Jim Sharman
Jim Sheridan
Jim Taylor
Jim Thebaut
Jim Wheat
Jim Whitaker
Jim Wilson
Jimmy Chin
Jimmy Hayward
Jimmy Lindsey
Jimmy Warden
Jo Monteiro
Joachim Fest
Joachim Levy
Joachim Rønning
Joachim Trier
Joana Vicente
Job Gosschalk
Joby Harold
Jocelyn Moorhouse
Jody Hill
Jody Lee Lipes
Joe Ahearne
Joe Berlinger
Joe Carnahan
Joe Collins
Joe Dante
Joe Exotic
Joe Forte
Joe Hisaishi
Joe Johnston
Joe Nussbaum
Joe Penna
Joe Pytka
Joe Robert Cole
Joe Roth
Joe Russo
Joe Wright
Joel Coen
Joel Crawford
Joel Gallen
Joel Schumacher
Joel Soisson
Joel Stillerman
Joel Zwick
Joey Curtis
Johan Renck
Johannes Persson
Johannes Roberts
John Andreas Andersen
John Badham
John Baldecchi
John Bloom
John Boorman
John C. Donkin
John C. Richards
John Cameron
John Carney
John Carter
John Crowley
John Curran
John Dahl
John Erick Dowdle
John Fawcett
John Ford
John Fortenberry
John Frankenheimer
John G. Avildsen
John Glen
John Glenn
John Green
John H. Williams
John Hamburg
John Harrison
John Hillcoat
John Hopkins
John Hughes
John J. Mescall
John Ketcham
John Lafia
John Landis
John Langley
John Lee Hancock
John Leonetti
John Lindley
John Lounsbery
John Luessenhop
John M. Jacobsen
John Madden
John Mathieson
John Maybury
John McNaughton
John McTiernan
John Merritt
John Michael McDonagh
John Milius
John Moore
John Musker
John N. Smith
John Nordling
John Ort
John Pasquin
John Patrick Shanley
John Patton Ford
John Pogue
John R. Leonetti
John Requa
John Rice
John Roach
John S. Bartley
John Sayles
John Schlesinger
John Schwartzman
John Seale
John Singleton
John Smithson
John Stevenson
John Sturges
John Swetnam
John Waters
John Wells
John Whitesell
John Woo
John de Borman
Johnny E. Jensen
Johnny Jewel
Jomon T. John
Jon Amiel
Jon Avnet
Jon Bertain
Jon Bokenkamp
Jon Hurwitz
Jon Katz
Jon Lucas
Jon M. Chu
Jon Poll
Jon Ronson
Jon S. Baird
Jon Spaihts
Jon Turteltaub
Jon Watts
Jonah Loop
Jonas Pate
Jonas Åkerlund
Jonathan Brown
Jonathan Corn
Jonathan Craven
Jonathan Dayton
Jonathan Demme
Jonathan E. Steinberg
Jonathan Entwistle
Jonathan Evison
Jonathan Glazer
Jonathan Goldstein
Jonathan Halperyn
Jonathan Hensleigh
Jonathan Levine
Jonathan Lia
Jonathan Liebesman
Jonathan Lynn
Jonathan Mostow
Jonathan Nolan
Jonathan Sanger
Jonathan Sela
Jonathan Tropper
Jonathan Wakeham
Jonathan del Val
Jong-yong Lee
Jonás Cuarón
Jordan Gertner
Jordan Mechner
Jordan Roberts
Jordan Vogt-Roberts
Jorge Blanco
Jorge R. Gutiérrez
Josef Rusnak
Joseph Barbera
Joseph Garner
Joseph Kosinski
Joseph L. Mankiewicz
Joseph Minion
Joseph Oriolo
Joseph Ruben
Joseph Zito
Josh Boone
Josh Cooley
Josh Crockett
Josh Gordon
Josh Heald
Josh Klausner
Josh Mond
Josh Olson
Josh Pate
Josh Safdie
Josh Schwartz
Josh Shelov
Josh Trank
Joshua James Richards
Joshua Michael Stern
Joshua Wexler
Josie Rourke
Joss Whedon
José Luis Cuerda
José Padilha
Juan Carlos Fresnadillo
Juan José Campanella
Juan Solanas
Judd Apatow
Judy Morris
Juel Taylor
Jules Asner
Jules Furthman
Julia Child
Julia Ducournau
Julian Doyle
Julian Farino
Julian Hart
Julian Jarrold
Julian Krainin
Julian Loyola
Julian Schnabel
Julie Anne Robinson
Julie Harkin
Julie Plec
Julie Richardson
Julie Taymor
Julien Lacheray
Juliet Snowden
Julius Avery
Julius Onah
Jun Shishido
Jungmi Oh
Justin Chadwick
Justin Haythe
Justin K. Thompson
Justin Kurzel
Justin Lin
Justin Martinez
Justin Rhodes
Justin Zackham
Justine Triet
Jyoti Kapur Das
Jérôme Géronimi
Jérôme Maison
Jérôme Salle
Jörn Donner
K. Raghavendra Rao
K. Subhash
Kabir Khan
Kalyanee Mam
Kamil Çetin
Kamir Aïnouz
Kaname Fujioka
Kaneto Shindō
Karan Anshuman
Karan Johar
Karan Kashyap
Karan Malhotra
Karen Shakhnazarov
Karey Kirkpatrick
Karl Freund
Karl Struss
Karla Spika
Karthik Gattamneni
Karyn Kusama
Kasra Farahani
Kate Cohen
Kate Trefry
Katherine Fugate
Kathryn Bigelow
Katja Wik
Katsuhiro Ôtomo
Katy Brand
Katy Scoggin
Kaz Firpo
Kazushige Nojima
Keenan Flynn
Kees Kasander
Keith Calder
Keith Gomes
Keith Kjarval
Keith R. Clarke
Keith Salmon
Keith Samples
Keith Sharon
Keith Thomas
Kelley Sane
Kelly Candaele
Kelly Fremon Craig
Kemp Powers
Ken Annakin
Ken Blancato
Ken Daurio
Ken Finkleman
Ken Kesey
Ken Kwapis
Ken Loach
Ken Matsumoto
Ken Mok
Ken Scott
Ken Wheat
Kenneth Biller
Kenneth Johnson
Kenny Ortega
Kenny Tse
Kent Alterman
Kenta Fukasaku
Kerry Conran
Kevin Altieri
Kevin Bray
Kevin Donovan
Kevin Greutert
Kevin Kölsch
Kevin Loader
Kevin Macdonald
Kevin Munroe
Kevin Pavlovic
Kevin R. Adams
Kevin Reynolds
Kevin Tent
Kevin VanHook
Kevin Williamson
Kevin Willmott
Khalid Mohtaseb
Kieran Fitzgerald
Kieran McGuigan
Kim Aubry
Kim Chang-ju
Kim Jee-woon
Kim Ji-yong
Kim Sherman
Kim Sung-ho
Kimberly Peirce
King Baggot
Kinji Fukasaku
Kinka Usher
Kiran Rao
Kirk DeMicco
Kirk Jones
Kirk Wise
Kirsten Elms
Kirsten Johnson
Kirt Gunn
Knate Lee
Kolja Brandt
Konstantin Bock
Konstantin Ernst
Koreyoshi Kurahara
Kornél Mundruczó
Kris Bowers
Kris Kachikis
Krishna D.K.
Kristi Zea
Kristian Moliere
Kristoffer Borgli
Kristoffer Kumar
Krzysztof Kieslowski
Kshitij Patwardhan
Kurt Voelker
Kurt Wimmer
Kyle Balda
Kyle Killen
Kyle McQueen
Kyle Newman
Kôhei Horikoshi
Kôichirô Itô
Kôki Aoshima
L. Ron Hubbard
Lajos Koltai
Lalit Marathe
Lam T. Nguyen
Lana Wachowski
Lance Acord
Lance Khazei
Lang Fisher
Lara Alameddine
Larissa Rhodes
Larkin Seiple
Larry Charles
Larry Clark
Larry Cohen
Larry Gross
Larry Smith
Larry Sturhahn
Larry Sulkis
Lars Jacobson
Lars Klevberg
Lars von Trier
Lasse Hallström
Laura Hastings-Smith
Laura Lau
Laura Poitras
Lauren Bond
Lauren McLaughlin
Laurence Malkin
Laurent Barès
Laurent Chalet
Laurent Sénéchal
Laurent Zeitoun
Laurie Colson
Laurie Nunn
Laurits Munch-Petersen
Lauryn Kahn
Lawrence Guterman
Lawrence Kasanoff
Lawrence Kasdan
Lawrence Sher
Lawrence Trilling
Lawrence Turman
Lee Anthony Smith
Lee Chang-dong
Lee Cronin
Lee Daniels
Lee Isaac Chung
Lee Jeong-beom
Lee Kyoung-mi
Lee Stanley
Lee Sternthal
Lee Sung Jin
Lee Tamahori
Lee Toland Krieger
Leigh Janiak
Len Wiseman
Lene Bausager
Lennart Wallén
Lenny Abrahamson
Leo Benvenuti
Leo McCarey
Leon Shamroy
Leonardo De La Fuente
Les Clark
Les Mayfield
Leslie Benzies
Leslie Cockburn
Leslye Headland
Levan Gabriadze
Lewis Friedman
Lewis Gilbert
Lewis John Carlino
Lewis Milestone
Lewis R. Foster
Lewis Teague
Lexi Alexander
Liam Lynch
Liam O'Donnell
Lije Sarki
Lili Fini Zanuck
Lilly Wachowski
Linda Voorhees
Lindsey Olivares
Lisa Azuelos
Lisa Cholodenko
Lisa Gunning
Lisa Joy
Lisa Rinzler
Lisa Soper
Liz Hannah
Liz Tuccillo
Liza Johnson
Lloyd Ahern II
Lokesh Kanagaraj
Lone Scherfig
Long Cheng
Lorcan Finnegan
Lori McCreary
Lothar G. Buchheim
Louis Garfinkle
Louis Leterrier
Louis R. Loeffler
Lowell D. Blank
Luc Barnier
Luc Besson
Luc Jacquet
Luc Montpellier
Luca Guadagnino
Lucia Aniello
Lucile Hadzihalilovic
Lucy Darwin
Luis Carballar
Luis Llosa
Luiso Berdejo
Lukas Ettlin
Lukas Moodysson
Lukasz Zal
Luke Davies
Luke Geissbuhler
Luke Greenfield
Lula Carvalho
Lulu Wang
Lydia Dean Pilcher
Lynn Blumenthal
Lynne Ramsay
László Kovács
Léa Mysius
M Chandramouli
MJ Bassett
Mac Ahlberg
MacGregor
Maceo Bishop
Maciej Kawulski
Maggie Kang
Maggie Monteith
Mahesh Aney
Mahesh Bhatt
Majd Nassif
Majid Majidi
Makoto Shinkai
Malcolm D. Lee
Malcolm Marmorstein
Malek Akkad
Malik Bendjelloul
Mamoru Hosoda
Mamoru Oshii
Maneesh Sharma
Manish Pandey
Manmohan Singh
Manny Coto
Mar Targarona
Marc Abraham
Marc Bienstock
Marc Caro
Marc Forster
Marc Guggenheim
Marc Klein
Marc Norman
Marc Rocco
Marc Silverstein
Marc Smerling
Marc Webb
Marcel Moussy
Marcelo Rubens Paiva
Marco Brambilla
Marco Pontecorvo
Marco Weber
Marco van Belle
Marcos Martínez
Marcos Prado
Marcos Siega
Marcus Dunstan
Marcus Gautesen
Marcus Nispel
Maren Ade
Maria Maggenti
Marin Karmitz
Mario Miscione
Mario Morra
Marjane Satrapi
Mark A.Z. Dippé
Mark Amin
Mark Andrews
Mark Boal
Mark Cullen
Mark Davis
Mark Goldblatt
Mark Gordon
Mark Gunn
Mark Gustafson
Mark Hanlon
Mark Helfrich
Mark Herman
Mark Heyman
Mark Korven
Mark L. Lester
Mark Linfield
Mark Molloy
Mark Monroe
Mark Mylod
Mark Neveldine
Mark Osborne
Mark Palansky
Mark Pellington
Mark Peploe
Mark Perez
Mark Romanek
Mark Rosenthal
Mark Rosman
Mark Rosner
Mark Schwahn
Mark Solomon
Mark Steven Johnson
Mark Tarlov
Mark Tonderai
Mark Waters
Mark Williams
Mark Yoshikawa
Marshall Adams
Marshall Harvey
Marshall Herskovitz
Marshall Jamie
Martin Brest
Martin Campbell
Martin Kitrosser
Martin McDonagh
Martin Petit
Martin Stellman
Martin Weisz
Martyn Burke
Martín Carranza
Mary Harron
Mary Lambert
Masaki Kobayashi
Masashi Koizuka
Massimo Dallamano
Massy Tadjedin
Mat Govoni
Mateo Gil
Mathieu Vadepied
Mathilde Bonnefoy
Matiss Kaza
Matt Bettinelli-Olpin
Matt Brown
Matt Charman
Matt Clifford
Matt Cook
Matt Greenhalgh
Matt Johnson
Matt Manfredi
Matt Nix
Matt Platts-Mills
Matt Reeves
Matt Shakman
Matt Waldeck
Matthew George
Matthew Gross
Matthew Kaplan
Matthew Kollar
Matthew López
Matthew Michael Carnahan
Matthew Miller
Matthew Miller
Matthew Perniciaro
Matthew Robbins
Matthew Robinson
Matthew Rundell
Matthew Vaughn
Matthew Warchus
Matthias Emcke
Matthijs van Heijningen Jr.
Matti Leshem
Mattias Andersson
Mattson Tomlin
Maurice Noble
Mauro Borrelli
Max Allan Collins
Max Barbakow
Max Borenstein
Max Eggers
Max Landis
Max Malkin
Max Nichols
Maxime Alexandre
Maximianno Cobra
Maximilian Leo
McG
Megan Holley
Megan McDonnell
Meghan O'Hara
Megumi Ishitani
Mehmet Ada Öztekin
Meir Zarchi
Mel Stuart
Melisa Wallack
Melissa Bernstein
Melissa K. Stack
Melvin Frank
Menahem Golan
Mennan Yapo
Menno Meyjes
Merrill Garbus
Mervyn LeRoy
Michael A. Pierce
Michael Anderson
Michael Apted
Michael Arias
Michael Ballhaus
Michael Balson
Michael Bay
Michael Blake
Michael Brandt
Michael Bronner
Michael Browning
Michael C. Martin
Michael Caleo
Michael Caton-Jones
Michael Chandler
Michael Chaves
Michael Cimino
Michael Cooney
Michael Crichton
Michael Cuesta
Michael Curtiz
Michael Davis
Michael Donovan
Michael Dowse
Michael Engler
Michael Felker
Michael Fimognari
Michael Giacchino
Michael Goldberg
Michael Goldenberg
Michael Gornick
Michael Gracey
Michael Haneke
Michael Hoffman
Michael Hudecek
Michael J. Weithorn
Michael Kalesniko
Michael Lehmann
Michael Lembeck
Michael Lloyd Green
Michael Mann
Michael Matthews
Michael McCullers
Michael McDonough
Michael McDowell
Michael Miner
Michael Mitnick
Michael Mohan
Michael Moore
Michael Noer
Michael Nyman
Michael Ohoven
Michael Ondaatje
Michael Palm
Michael Patrick King
Michael Philippou
Michael Pressman
Michael R. Miller
Michael Radford
Michael Rasmussen
Michael Ritchie
Michael Rymer
Michael S. Bregman
Michael Samonek
Michael Sarnoski
Michael Schur
Michael Schwartz
Michael Shanks
Michael Simkin
Michael Sloane
Michael Slovis
Michael Spierig
Michael Steinberg
Michael Sucsy
Michael Thurmeier
Michael Tolkin
Michael Tollin
Michaël R. Roskam
Michel Fessler
Michel Gondry
Michel Hazanavicius
Michelangelo Antonioni
Michelle Keserwany
Michelle MacLaren
Michelle Manning
Michiya Katô
Mick Garris
Mick Jackson
Mickey Liddell
Mickey Rapkin
Miguel Angel Faura
Miguel Arteta
Miguel Menéndez de Zubillaga
Miguel Sapochnik
Mihai Malaimare Jr.
Mikael Håfström
Mikael Salomon
Mike Barker
Mike Blizzard
Mike Cahill
Mike Clattenburg
Mike Elliott
Mike Figgis
Mike Flanagan
Mike Fleiss
Mike Hodges
Mike Jefferies
Mike Johnson
Mike McCoy
Mike Mills
Mike Newell
Mike Nichols
Mike Oldfield
Mike Skinner
Mike de Seve
Mikel Cee Karlsson
Mikkel E.G. Nielsen
Milan Trenc
Miles Millar
Milos Kodemo
Miloš Forman
Milton Carruth
Mimi Cave
Mimi Leder
Miranda Bailey
Miroslaw Baszak
Miroslaw Brozek
Mitch Glazer
Mohit Suri
Mona Fastvold
Monica Levinson
Monty Python
Morgan Spurlock
Morten Tyldum
Motonori Sakakibara
Mr. Brainwash
Mu-yeong Lee
Munn Powell
Murilo Hauser
Murray Burnett
Mustapha Souaidi
Måns Mårlind
Na Hong-jin
Nacho Ruiz Capillas
Nadim Mishlawi
Nadine Labaki
Nag Ashwin
Namrata Rao
Nanami Michibata
Nancy Jo Sales
Nancy Meyers
Nanette Burstein
Naoki Matsuura
Naoko Yamada
Naomi Geraghty
Nat Perrin
Natasha Braier
Nathan Furst
Nathan Greno
Nathan Johnson
Nathan Nugent
Neal Brennan
Neal Edelstein
Neal Israel
Ned Benson
Neeraj Pandey
Neeraj Vora
Neil Burger
Neil Druckmann
Neil Grieve
Neil Jordan
Neil LaBute
Neil Marshall
Neil Smith
Neil Tolkin
Neil Widener
Neill Blomkamp
Nele Karajlic
Nessa Hyams
Newt Arnold
Newton Thomas Sigel
Nia DaCosta
Niall Leonard
Nic Mathieu
Nic Pizzolatto
Nicholas Jarecki
Nicholas Kazan
Nicholas Ray
Nicholas Thomas
Nicholaus Goossen
Nick Bruno
Nick Fenton
Nick Goldsmith
Nick Lathouris
Nick Moore
Nick Murphy
Nick Park
Nick Remy Matthews
Nick Vallelonga
Nico Aguilar
Nico Soultanakis
Nicola Pecorini
Nicolai Fuglsig
Nicolaj Monberg
Nicolas Bolduc
Nicolas Boukhrief
Nicolas Pesce
Nicolas Roeg
Nicolas Steil
Nicolas Winding Refn
Nicole Holofcener
Nicole Perlman
Nicolás López
Niels Arden Oplev
Nigel Cole
Nigel Godrich
Niketh Bommi
Nikhil Mehrotra
Nikhil Namit
Niki Caro
Niki Marvin
Nikkhil Advani
Nikolaj Arcel
Nima Nourizadeh
Nimród Antal
Nina Agadzhanova
Nishikant Kamat
Nitesh Tiwari
Nithilan Saminathan
Nitin Zihani Choudhary
Niv Fichman
Niven Howie
Noah Baumbach
Noah Hawley
Noah Pink
Noam Murro
Nobuyuki Takahashi
Noel Langley
Noemi Katharina Preiswerk
Nontakorn Taweesuk
Nora Ephron
Nora Fingscheidt
Norman Ferguson
Norman Jewison
Norman Krasna
Norman Panama
Noé Debré
Noël-Noël
Nunnally Johnson
Nuri Bilge Ceylan
Néstor Almendros
Ol Parker
Olatunde Osunsanmi
Ole Bornedal
Ole Søndberg
Oliver Bokelberg
Oliver Curtis
Oliver Hirschbiegel
Oliver Parker
Oliver Stapleton
Oliver Stone
Olivia Milch
Olivia Neergaard-Holm
Olivia Newman
Olivier Assayas
Olivier Bugge Coutté
Olivier Dahan
Olivier Gajan
Olivier Megaton
Olivier Nakache
Om Raut
Onur Tan
Oonagh Kearney
Oren Moverman
Oren Peli
Oren Soffer
Oreste Biancoli
Ori Sivan
Oriol Paulo
Orson Scott Card
Oscar Boyson
Oscar Rosander
Osnat Shurer
Otho Lovering
Otto Bathurst
Owen Harris
Oxide Chun Pang
P.J. Dillon
P.J. Hogan
P.V. Shankar
Pablo Bossi
Pablo García Revert
Pablo Larraín
Paco Cabezas
Paco Plaza
Padraic McKinley
Pankaj Kumar
Panna Rittikrai
Panos Cosmatos
Paolo Costella
Paolo Genovese
Paolo Sorrentino
Paris Barclay
Park Chan-wook
Park Hoon-jung
Park Myeong-chan
Parker Finn
Pascal Laugier
Pat O'Connor
Patrick Burleigh
Patrick Gilmore
Patrick Hughes
Patrick Jean
Patrick Lussier
Patrick Read Johnson
Patrick Sheane Duncan
Patrick Williams
Patty Jenkins
Paul Angunawela
Paul Berrow
Paul Brad Logan
Paul Breuls
Paul Brickman
Paul Cameron
Paul Castro
Paul Currie
Paul Falkenberg
Paul Feig
Paul Fisher
Paul Fraser
Paul Greengrass
Paul Guay
Paul Haggis
Paul Harb
Paul Harrod
Paul Hernandez
Paul Junger Witt
Paul King
Paul Machliss
Paul McGuigan
Paul Sado
Paul Sarossy
Paul Schnee
Paul Schrader
Paul Sylbert
Paul T. Scheuring
Paul Taublieb
Paul Thomas Anderson
Paul Verhoeven
Paul W.S. Anderson
Paul Wang
Paul Weiland
Paul Weitz
Paula Huidobro
Pauline Chan
Paulo Lins
Pav Dharia
Pawel Pawlikowski
Pedro Almodóvar
Pedro Rivero
Pen Densham
Penelope Spheeris
Penny Marshall
Pepe Avila del Pino
Perce Pearce
Perry Andelin Blake
Pete Travis
Peter A. Dowling
Peter Allen
Peter B. Ellis
Peter Bogdanovich
Peter Briggs
Peter Cameron
Peter Cattaneo
Peter Chelsom
Peter Cornwell
Peter Craig
Peter Douglas
Peter Faiman
Peter Farrelly
Peter Filardi
Peter Flinckenberg
Peter Handke
Peter Hedges
Peter Hewitt
Peter Hoar
Peter Hollywood
Peter Howitt
Peter Hyams
Peter Jackson
Peter James
Peter Kaufman
Peter Landesman
Peter Locke
Peter Lord
Peter MacDonald
Peter Mokrosinski
Peter O. Almond
Peter Pau
Peter Przygodda
Peter R. Hunt
Peter Rader
Peter Ramsey
Peter Rees
Peter Segal
Peter Smokler
Peter Sollett
Peter Spears
Peter Spierig
Peter Stein
Peter Straughan
Peter Suschitzky
Peter Thorwarth
Peter Tolan
Peter Webber
Peter Weir
Peter Yates
Peyton Reed
Phedon Papamichael
Phil Alden Robinson
Phil Dale
Phil Dornfeld
Phil Dusenberry
Phil Falcone
Phil Joanou
Philip D'Antoni
Philip G. Atwell
Philip Gelatt
Philip Kaufman
Philip Reeve
Philippe Godeau
Philippe Rousselot
Phillip Barker
Phillip J. Bartell
Phillip Noyce
Phyllida Lloyd
Phyllis Nagy
Pier Paolo Pasolini
Pierce Gardner
Piero De Bernardi
Pierre Bismuth
Pierre Gill
Pierre Magny
Pierre Mignot
Pierre Morel
Pierre-Oscar Lévy
Pieter Jan Brugge
Pip Karmel
Pippa Ehrlich
Pitof
Piyush Gupta
Polly Stenham
Pooja Shetty
Prabhu Deva
Prachya Pinkaew
Prasantanu Mohapatra
Prashanth Neel
Predrag Antonijevic
Priyadarshan
Pushpdeep Bhardwaj
Qui Nguyen
Quyen Tran
R.J. Cutler
R.S. Mani
Raaghav Vinay Shivagange
Rachel Aoun
Rachel Morrison
Rachel Myers
Rachel Talalay
Rachel Winter
Raghav Subbu
Rahi Anil Barve
Rahul Pandey
Raj Nidimoru
Raja Gosnell
Raja Menon
Rajeev Ravi
Rajendra Gurjar
Rajib Biswas
Rajkumar Santoshi
Rakeysh Omprakash Mehra
Ralph Dawson
Ralph Kemplen
Ralph Rosenblum
Ralph Winter
Ralph Wright
Ram Kumar
Ramesh Sippy
Ramin Bahrani
Rand Ravich
Randal Kleiser
Randall Emmett
Randall Jahnson
Randall Wallace
Randy Barbato
Randy Feldman
Randy Scott Slavin
Ransom Riggs
Rathna Kumar
Ravi Basrur
Ravi K. Chandran
Ravi Varman
Rawson Marshall Thurber
Ray Lovejoy
Rebecca Rodriguez
Rebecca Thomas
Reed Smoot
Reema Kagti
Reg Harkema
Reginald H. Morris
Reginald Hudlin
Reinaldo Marcus Green
Renato Falcão
Renato Martins
Renny Harlin
Renzil D'Silva
René Wheeler
Rex Pickett
Reynaldo Villalobos
Rian Johnson
Ric Roman Waugh
Ricardo F. Delgado
Rich Moore
Richard A. Harris
Richard Brooks
Richard Crudo
Richard Curtis
Richard Donner
Richard Eyre
Richard Flanagan
Richard Fleischer
Richard Friedenberg
Richard Gilbert Abramson
Richard Hutton
Richard Kelly
Richard LaGravenese
Richard Lester
Richard Linklater
Richard Loncraine
Richard Marizy
Richard Marquand
Richard Pagano
Richard Peete
Richard Rich
Richard Robbins
Richard Sakai
Richard Schenkman
Richard Stanley
Richard Tuggle
Richard Wenk
Richard Wong
Rick Bieber
Rick Bitzelberger
Rick Bota
Rick Cleveland
Rick Famuyiwa
Rick King
Rick Ramage
Rick Rosenthal
Ridley Scott
Ring Lardner Jr.
Risa Bramon Garcia
Ritesh Batra
Roar Uthaug
Rob Bowman
Rob Cohen
Rob Hardy
Rob Letterman
Rob Marshall
Rob McKittrick
Rob Minkoff
Rob Perez
Rob Schmidt
Rob Thomas
Rob Weiss
Rob Zombie
Robbie Fox
Robbie Ryan
Robert Aldrich
Robert Altman
Robert B. Weide
Robert Benton
Robert Bolt
Robert Brinkmann
Robert Clouse
Robert Duffy
Robert Eggers
Robert Gordon
Robert Harmon
Robert Iscove
Robert King
Robert Klane
Robert Longo
Robert Lorenz
Robert Luketic
Robert M. Stevens
Robert May
Robert McLachlan
Robert Mead
Robert Milicevic
Robert Mulligan
Robert N. Fried
Robert Olsen
Robert Pulcini
Robert Richman
Robert Riskin
Robert Rossen
Robert Salerno
Robert Sallin
Robert Schwentke
Robert Shapiro
Robert Shaye
Robert Siegel
Robert Stevenson
Robert Stromberg
Robert Thom
Robert Walker
Robert Wiene
Robert Wise
Robert Zappia
Robert Zemeckis
Robert de Vico
Roberto Bentivegna
Robia Rashid
Robin Cowie
Robin Gutch
Robin Hardy
Robin Swicord
Rocky Morton
Rod Daniel
Rod Lurie
Rodney Charters
Rodney Rothman
Rodo Sayagues
Rodrigo Cortés
Rodrigo García
Rodrigo Prieto
Roger Allers
Roger Avary
Roger Christian
Roger Corman
Roger Donaldson
Roger Frappier
Roger Kumble
Roger Michell
Roger Spottiswoode
Rohit Shetty
Rohn Schmidt
Roland Emmerich
Roland Joffé
Romain Gary
Roman Coppola
Roman Vasyanov
Ron Clements
Ron Dyens
Ron Fortunato
Ron Najor
Ron Nyswaner
Ron Shelton
Ron Underwood
Ronald L. Schwary
Ronald Víctor García
Ronny Yu
Roque Baños
Rose Glass
Rospo Pallenberg
Ross Duffer
Ross Katz
Rowan Joffe
Rowdy Herrington
Roxanne Benjamin
Roy H. Wagner
Ruben Fleischer
Ruben Östlund
Rudd Simmons
Rudolph Maté
Rudy Ricci
Ruggero Deodato
Ruggero Maccari
Rumi Jaffery
Rupert Goold
Rupert Sanders
Rupert Wainwright
Rupert Wyatt
Russ Brandt
Russ T. Alsobrook
Russell Boyd
Russell Mulcahy
Russell Norman
Rusty Cundieff
Ry Russo-Young
Ryan Coogler
Ryan Engle
Ryan Firpo
Ryan Fleck
Ryan M. James
Ryan Stevens Harris
Ryosuke Tanaka
Ryû Murakami
Ryûhei Kitamura
Ryûsuke Hamaguchi
S. Craig Zahler
S. Leigh Savidge
S.J. Clarkson
Saar Klein
Sacha Gervasi
Sachin S. Pillai
Sadaf Khan
Sadayuki Murai
Sajid Nadiadwala
Sakichi Sato
Sally Wainwright
Salvador Paskowitz
Sam Esmail
Sam Fell
Sam Harper
Sam Lake
Sam Levinson
Sam Liu
Sam Mendes
Sam O'Steen
Sam Peckinpah
Sam Spiegel
Sam Taylor-Johnson
Sam Weisman
Samuel A. Taylor
Samuel Armstrong
Samuel Bayer
Samuel Goldwyn Jr.
Sandeep Chowta
Sandeep Kurup
Sandeep Reddy Bandla
Sandeep Reddy Vanga
Sandor Stern
Sandra Nettelbeck
Sandro Forte
Sandy King
Sanjay Dayma
Sara Driver
Sara Woodhatch
Sarah Adina Smith
Sarah Boyd
Sarah Kernochan
Sarah Siegel-Magness
Sarah Smith
Sarah Thorp
Sascha Penn
Satoshi Kon
Saul Dibb
Saurabh Gupta
Sayombhu Mukdeeprom
Scarlett Amaris
Scot Armstrong
Scott Beck
Scott Cawthon
Scott Cooper
Scott Derrickson
Scott Falconer
Scott Frank
Scott Hicks
Scott Kalvert
Scott Kevan
Scott Mann
Scott Marshall Smith
Scott Moore
Scott Peters
Scott Richter
Scott Speer
Scott Spiegel
Scott Steindorff
Scott Stewart
Scott Teems
Scott Walker
Scott Waugh
Scott Winant
Scott Z. Burns
Seamus McGarvey
Sean Anders
Sean Baker
Sean Covel
Sean Durkin
Sean Ellis
Sean K. Lambert
Sean Lahiff
Sean Price Williams
Sean S. Cunningham
Sebastian Bear-McClard
Sebastian Gutierrez
Sebastian Junger
Sebastián Cordero
Sergei Bodrov
Sergei Eisenstein
Sergey Trofimov
Sergio Citti
Sergio G. Sánchez
Sergio Leone
Seth Cuddeback
Seth Gordon
Seth Reiss
Sethu Sriram
Seung-jae Lee
Severin Fiala
Shaka King
Shalini Ushadevi
Shane A. Walsh
Shane Acker
Shane Hurlbut
Shane Meadows
Shane Reid
Shane Van Dyke
Shankh Rajadhyaksha
Shannon McIntosh
Shari Springer Berman
Sharon Maguire
Shashank Khaitan
Shashanka Chaturvedi
Shauna Garr
Shawn Christensen
Shawn Levy
Shawn Rasmussen
Shekhar Kapur
Sheldon Lettich
Shimit Amin
Shin'ichirô Watanabe
Shinho Lee
Shinobu Hashimoto
Shintarô Itoga
Shivgopal Krishna
Shona Heath
Shree Narayan Singh
Shreyansh Pandey
Shyam Maheshwari
Shôji Sakai
Sian Heder
Siddharth Anand
Siddique
Sidney Gilliat
Sidney J. Furie
Sidney Lumet
Sigurjon Sighvatsson
Simon Barry
Simon Beaufoy
Simon Brasse
Simon Cellan Jones
Simon Curtis
Simon J. Smith
Simon McQuoid
Simon Moore
Simon Perry
Simon Raby
Simon Stone
Simon Wells
Simon West
Simon Wincer
Sing-Pui O
Skip Schoolnik
Skip Woods
Sofia Alvarez
Sofia Sondervan
Sol Choi
Sophie Blanvillain
Spenser Cohen
Srdjan Spasojevic
Sriram Das
Sriram Raghavan
Stacy Peralta
Stanislas Carré de Malberg
Stanley Donen
Stanley Kramer
Stanley Kubrick
Stanley R. Jaffe
Stefan Holtz
Stefano Sollima
Stefen Fangmeier
Stephan Elliott
Stephen Belafonte
Stephen Carpenter
Stephen Chbosky
Stephen Cornwell
Stephen Daldry
Stephen Deutsch
Stephen E. Rivkin
Stephen F. Windon
Stephen Frears
Stephen Goldblatt
Stephen Hamel
Stephen Herek
Stephen Hopkins
Stephen M. Katz
Stephen McKeon
Stephen Nemeth
Stephen Rennicks
Stephen Sinclair
Stephen Sommers
Stephen Surjik
Stephen Susco
Stephen Woolley
Steve Barron
Steve Beck
Steve Bendelack
Steve Box
